iter	Passed	Remaining
398	133773	134444
399	134111	134111
400	134440	133770
401	134777	133436
402	135102	133091
403	135428	132746
404	135767	132415
405	136103	132080
406	136437	131744
407	136768	131404
408	137102	131068
409	137447	130742
410	137777	130402
411	138105	130060
412	138442	129726
413	138777	129391
414	139109	129053
415	139433	128708
416	139763	128368
417	140091	128026
418	140416	127681
419	140743	127339
420	141072	126998
421	141396	126653
422	141728	126316
423	142064	125981
424	142395	125642
425	142722	125300
426	143052	124961
427	143380	124620
428	143730	124298
429	144055	123955
430	144380	123611
431	144708	123270
432	145036	122929
433	145382	122603
434	145713	122265
435	146042	121925
436	146366	121581
437	146694	121240
438	147027	120903
439	147358	120566
440	147684	120223
441	148012	119883
442	148336	119540
443	148661	119196
444	148991	118858
445	149318	118516
446	149646	118177
447	149974	117836
448	150304	117498
449	150626	117153
450	150958	116816
451	151282	116473
452	151607	116132
453	151937	115794
454	152266	115454
455	152596	115117
456	152925	114777
457	153255	114439
458	153577	114095
459	153909	113758
460	154240	113422
461	154568	113082
462	154894	112742
463	155225	112404
464	155558	112068
465	155889	111731
466	156215	111391
467	156538	111048
468	156866	110709
469	157202	110376
470	157532	110038
471	157854	109695
472	158182	109356
473	158508	109016
474	158829	108672
475	159154	108332
476	159484	107994
477	159821	107662
478	160149	107323
479	160477	106984
480	160803	106644
481	161137	106310
482	161469	105974
483	161795	105635
484	162126	105298
485	162455	104961
486	162778	104619
487	163109	104283
488	163433	103942
489	163765	103606
490	164127	103290
491	164454	102951
492	164784	102614
493	165132	102288
494	165475	101959
495	165796	101617
496	166127	101281
497	166459	100945
498	166788	100608
499	167134	100280
500	167462	99942
501	167796	99608
502	168138	99278
503	168478	98947
504	168813	98613
505	169146	98279
506	169476	97941
507	169809	97606
508	170137	97269
509	170473	96935
510	170802	96598
511	171132	96262
512	171461	95924
513	171789	95587
514	172115	95248
515	172440	94909
516	172767	94570
517	173117	94245
518	173446	93908
519	173781	93574
520	174112	93238
521	174443	92903
522	174772	92565
523	175101	92228
524	175427	91890
525	175767	91559
526	176099	91224
527	176431	90889
528	176755	90549
529	177091	90216
530	177431	89885
531	177765	89550
532	178105	89219
533	178436	88883
534	178769	88549
535	179104	88215
536	179433	87878
537	179769	87545
538	180095	87207
539	180422	86870
540	180760	86538
541	181091	86202
542	181438	85874
543	181768	85538
544	182101	85203
545	182429	84866
546	182759	84530
547	183088	84193
548	183421	83859
549	183756	83525
550	184085	83189
551	184413	82852
552	184743	82516
553	185075	82181
554	185402	81844
555	185735	81509
556	186062	81172
557	186395	80838
558	186730	80504
559	187059	80168
560	187390	79832
561	187719	79496
562	188087	79177
563	188415	78840
564	188747	78505
565	189086	78173
566	189417	77838
567	189746	77502
568	190076	77166
569	190398	76827
570	190720	76488
571	191053	76154
572	191379	75816
573	191707	75480
574	192037	75144
575	192361	74807
576	192691	74471
577	193020	74136
578	193348	73799
579	193690	73468
580	194021	73133
581	194349	72797
582	194675	72460
583	195004	72125
584	195328	71787
585	195661	71453
586	195993	71118
587	196328	70785
588	196657	70449
589	196983	70112
590	197330	69783
591	197660	69448
592	197989	69112
593	198315	68776
594	198652	68443
595	198994	68112
596	199323	67776
597	199660	67443
598	199988	67108
599	200318	66772
600	200653	66439
601	200983	66104
602	201320	65771
603	201664	65440
604	201990	65104
605	202318	64768
606	202653	64435
607	202997	64104
608	203328	63769
609	203656	63434
610	203999	63102
611	204321	62765
612	204661	62433
613	204989	62097
614	205318	61762
615	205648	61427
616	205978	61092
617	206309	60757
618	206638	60422
619	206967	60087
620	207295	59751
621	207623	59416
622	207969	59085
623	208293	58749
624	208626	58415
625	208961	58082
626	209291	57747
627	209616	57410
628	209948	57076
629	210279	56741
630	210614	56408
631	210946	56074
632	211279	55740
633	211613	55406
634	211942	55071
635	212278	54738
636	212608	54403
637	212938	54069
638	213265	53733
639	213591	53397
640	213923	53063
641	214254	52729
642	214584	52394
643	214917	52060
644	215253	51727
645	215584	51393
646	215910	51057
647	216245	50724
648	216580	50390
649	216912	50056
650	217238	49721
651	217572	49387
652	217900	49052
653	218230	48718
654	218563	48384
655	218892	48049
656	219221	47714
657	219549	47380
658	219881	47045
659	220206	46710
660	220533	46375
661	220859	46040
662	221188	45705
663	221529	45373
