iter	Passed	Remaining
397	41168	41582
398	41269	41476
399	41370	41370
400	41471	41265
401	41572	41158
402	41674	41054
403	41774	40947
404	41877	40843
405	41978	40737
406	42080	40633
407	42181	40526
408	42280	40420
409	42386	40319
410	42488	40214
411	42588	40107
412	42690	40003
413	42794	39900
414	42894	39793
415	42994	39687
416	43093	39579
417	43196	39476
418	43297	39370
419	43398	39265
420	43499	39159
421	43597	39051
422	43698	38946
423	43797	38839
424	43897	38732
425	43997	38627
426	44100	38523
427	44202	38419
428	44311	38320
429	44410	38213
430	44512	38109
431	44613	38003
432	44712	37897
433	44818	37796
434	44919	37691
435	45021	37586
436	45120	37479
437	45218	37372
438	45320	37268
439	45421	37163
440	45526	37061
441	45627	36956
442	45726	36849
443	45826	36744
444	45928	36639
445	46030	36535
446	46132	36430
447	46232	36325
448	46334	36221
449	46436	36117
450	46537	36012
451	46637	35906
452	46738	35802
453	46841	35698
454	46942	35593
455	47044	35489
456	47144	35384
457	47245	35279
458	47344	35173
459	47445	35068
460	47546	34963
461	47646	34858
462	47745	34752
463	47845	34647
464	47947	34542
465	48049	34438
466	48149	34333
467	48249	34228
468	48350	34123
469	48450	34018
470	48551	33913
471	48650	33808
472	48751	33703
473	48852	33599
474	48953	33494
475	49053	33389
476	49157	33286
477	49261	33184
478	49362	33080
479	49466	32977
480	49566	32872
481	49668	32768
482	49769	32664
483	49870	32560
484	49972	32456
485	50074	32352
486	50174	32247
487	50275	32143
488	50372	32036
489	50473	31932
490	50578	31830
491	50680	31726
492	50781	31622
493	50886	31520
494	50993	31420
495	51091	31314
496	51191	31209
497	51292	31105
498	51392	31000
499	51497	30898
500	51599	30794
501	51701	30691
502	51800	30586
503	51900	30481
504	51998	30375
505	52100	30271
506	52201	30167
507	52301	30063
508	52400	29957
509	52504	29855
510	52613	29756
511	52714	29651
512	52814	29547
513	52915	29443
514	53014	29338
515	53115	29234
516	53216	29130
517	53325	29030
518	53430	28928
519	53532	28825
520	53634	28721
521	53737	28618
522	53837	28514
523	53936	28409
524	54038	28306
525	54140	28202
526	54241	28098
527	54344	27995
528	54443	27890
529	54548	27788
530	54648	27684
531	54750	27581
532	54854	27478
533	54962	27378
534	55062	27274
535	55163	27170
536	55268	27068
537	55378	26968
538	55481	26865
539	55586	26763
540	55700	26666
541	55802	26562
542	55909	26461
543	56009	26357
544	56112	26254
545	56213	26150
546	56314	26046
547	56415	25942
548	56517	25839
549	56626	25739
550	56728	25636
551	56829	25532
552	56929	25427
553	57028	25323
554	57129	25219
555	57230	25115
556	57331	25011
557	57432	24908
558	57537	24805
559	57640	24703
560	57741	24599
561	57842	24495
562	57943	24391
563	58046	24288
564	58147	24185
565	58248	24081
566	58349	23977
567	58448	23873
568	58549	23769
569	58650	23666
570	58750	23561
571	58849	23457
572	58951	23354
573	59050	23249
574	59149	23145
575	59251	23042
576	59353	22939
577	59454	22835
578	59558	22733
579	59660	22629
580	59762	22526
581	59862	22422
582	59964	22319
583	60065	22216
584	60164	22111
585	60268	22009
586	60367	21905
587	60473	21803
588	60574	21699
589	60676	21596
590	60782	21495
591	60882	21391
592	60982	21287
593	61084	21184
594	61190	21082
595	61289	20978
596	61387	20873
597	61489	20770
598	61593	20668
599	61692	20564
600	61793	20460
601	61896	20357
602	61999	20255
603	62100	20151
604	62200	20048
605	62299	19943
606	62402	19841
607	62511	19740
608	62613	19637
609	62716	19534
610	62825	19433
611	62926	19330
612	63026	19226
613	63129	19124
614	63229	19020
615	63331	18917
616	63431	18813
617	63532	18710
618	63634	18607
619	63734	18503
620	63835	18400
621	63935	18296
622	64043	18195
623	64156	18095
624	64261	17993
625	64364	17890
626	64470	17788
627	64579	17687
628	64685	17585
629	64788	17482
630	64891	17379
631	64998	17278
632	65104	17176
633	65214	17075
634	65316	16971
635	65420	16869
636	65525	16767
637	65628	16664
638	65728	16560
639	65829	16457
640	65929	16353
641	66034	16251
642	66139	16149
643	66244	16046
644	66348	15944
645	66448	15840
646	66548	15737
647	66650	15633
648	66753	15531
649	66855	15428
650	66957	15325
651	67058	15221
652	67159	15118
653	67260	15015
654	67361	14912
655	67465	14809
656	67565	14706
657	67667	14602
658	67767	14499
659	67869	14396
660	67972	14293
661	68072	14190
662	68173	14087
663	68275	13984
664	68376	13881
665	68478	13777
666	68580	13674
667	68682	13571
668	68784	13468
669	68884	13365
670	68989	13263
671	69092	13160
672	69194	13057
673	69296	12954
674	69398	12851
675	69504	12749
676	69605	12646
677	69706	12542
678	69806	12439
679	69905	12336
680	70006	12233
681	70107	12130
682	70208	12026
683	70315	11924
684	70415	11821
685	70515	11718
686	70620	11615
687	70723	11513
688	70825	11410
689	70929	11307
690	71028	11204
691	71135	11102
692	71234	10998
693	71334	10895
694	71434	10792
695	71533	10688
696	71633	10585
697	71734	10482
698	71834	10379
699	71937	10276
700	72037	10173
701	72139	10070
702	72241	9967
703	72349	9865
704	72449	9762
705	72556	9660
706	72657	9557
707	72756	9454
708	72856	9351
709	72956	9247
710	73057	9144
711	73157	9041
712	73257	8938
713	73356	8835
714	73457	8732
715	73563	8630
716	73665	8527
717	73767	8424
718	73868	8321
719	73967	8218
720	74069	8115
721	74169	8012
722	74270	7909
723	74371	7806
724	74473	7704
725	74574	7601
726	74682	7499
727	74784	7396
728	74884	7293
729	74986	7190
730	75085	7087
731	75188	6984
732	75289	6881
733	75394	6779
734	75493	6676
735	75593	6573
736	75692	6470
737	75793	6367
738	75895	6264
739	75999	6162
740	76102	6059
741	76203	5956
742	76304	5853
743	76406	5751
744	76506	5648
745	76611	5545
746	76712	5442
747	76812	5339
748	76912	5237
749	77010	5134
750	77112	5031
751	77213	4928
752	77315	4825
753	77417	4723
754	77524	4620
755	77626	4517
756	77725	4415
757	77826	4312
758	77926	4209
759	78025	4106
760	78126	4003
761	78230	3901
762	78332	3798
763	78431	3695
764	78533	3593
765	78634	3490
766	78736	3387
767	78837	3284
768	78943	3182
769	79043	3079
770	79144	2976
771	79246	2874
772	79350	2771
773	79452	2668
774	79552	2566
775	79653	2463
776	79754	2360
777	79857	2258
778	79958	2155
779	80057	2052
780	80157	1950
781	80257	1847
782	80358	1744
783	80460	1642
784	80559	1539
785	80658	1436
786	80760	1334
787	80862	1231
788	80963	1128
789	81064	1026
790	81165	923
791	81264	820
792	81365	718
793	81466	615
794	81569	513
795	81670	410
796	81770	307
797	81870	205
798	81969	102
799	82072	0
