iter	Logloss
0	0.6697252224
1	0.6529610674
2	0.6371370831
3	0.625332351
4	0.6130727736
5	0.6027699617
6	0.5947219741
7	0.5870540852
8	0.5785269719
9	0.5723964704
10	0.5661146742
11	0.5615770567
12	0.556053192
13	0.5514097068
14	0.5468298783
15	0.5433938859
16	0.538908034
17	0.534873935
18	0.5312367723
19	0.5275215703
20	0.5244617232
21	0.5216600698
22	0.5181758363
23	0.5155057568
24	0.5129741717
25	0.5105406449
26	0.5075304456
27	0.5053130478
28	0.5027944867
29	0.5004546701
30	0.4979749119
31	0.4957535515
32	0.4937037967
33	0.4918021966
34	0.4897289313
35	0.4876547567
36	0.4849412861
37	0.4831445043
38	0.4813420057
39	0.4797714083
40	0.4781594483
41	0.4763727677
42	0.4745215488
43	0.4728664298
44	0.4711457056
45	0.4696127974
46	0.4680322872
47	0.4667440783
48	0.4653208096
49	0.4637816613
50	0.4626217842
51	0.4613676541
52	0.4595874435
53	0.4580054776
54	0.4568708779
55	0.4557288368
56	0.4544247593
57	0.4532750626
58	0.4521238082
59	0.451056044
60	0.4497151815
61	0.4486251061
62	0.4471083124
63	0.445946412
64	0.4449026463
65	0.443604347
66	0.4426546802
67	0.4413744668
68	0.4401999939
69	0.4388262203
70	0.43762695
71	0.4365977874
72	0.435194009
73	0.4342979238
74	0.4334040449
75	0.4322095402
76	0.4307241103
77	0.4299534919
78	0.4290610516
79	0.4281404499
80	0.427090222
81	0.4262275069
82	0.425397541
83	0.4245435637
84	0.4236538763
85	0.4226815451
86	0.4220172128
87	0.4211916713
88	0.4203507187
89	0.4194755549
90	0.4187074874
91	0.417809367
92	0.4169925054
93	0.4159696056
94	0.4145418836
95	0.4135947715
96	0.4127994382
97	0.4120963546
98	0.4113221986
99	0.4104900814
100	0.4096160763
101	0.4087328902
102	0.4078577452
103	0.4068830171
104	0.4059499332
105	0.4052012532
106	0.4040134298
107	0.4030506306
108	0.4023563748
109	0.4016307521
110	0.4006925106
111	0.3998787917
112	0.399147058
113	0.3983449067
114	0.3973694286
115	0.3966456617
116	0.3954217506
117	0.3944326045
118	0.3937250705
119	0.392837133
120	0.3920377574
121	0.3913124647
122	0.3902513764
123	0.3894499455
124	0.3888419736
125	0.3881578738
126	0.3872734655
127	0.3864310766
128	0.3856513056
129	0.3849753635
130	0.3840781051
131	0.3833586239
132	0.3826740279
133	0.3818812417
134	0.3812106746
135	0.3802827852
136	0.3796059834
137	0.378879743
138	0.3779813057
139	0.3772503659
140	0.3765143819
141	0.3758602386
142	0.3751898132
143	0.3744760039
144	0.3737824549
145	0.3730457426
146	0.372416089
147	0.3718053913
148	0.3711565291
149	0.37051367
150	0.3698327314
151	0.3692584612
152	0.3683055462
153	0.3674424588
154	0.366699128
155	0.366104849
156	0.3652835249
157	0.3646817453
158	0.3639279831
159	0.3632846267
160	0.3626676275
161	0.3620240112
162	0.3613320046
163	0.3606651668
164	0.3600606931
165	0.3594968858
166	0.3589287788
167	0.3583642856
168	0.3574895857
